patch_id,model,condition,p_yes,p_no,p_yes_renorm,coverage,top_token
patch_001,Qwen/Qwen2.5-72B-Instruct,hedged,0.9475612044334412,0.05243341624736786,0.9475663016950326,0.999994620680809,yes
patch_001,Qwen/Qwen2.5-72B-Instruct,confident,0.9156333804130554,0.08435740321874619,0.9156418193051999,0.9999907836318016,yes
patch_001,Qwen/Qwen2.5-72B-Instruct,confident_extra_neutral,0.7575991153717041,0.2423923909664154,0.7576055502170864,0.9999915063381195,yes
patch_001,Qwen/Qwen2.5-72B-Instruct,unsupported_claims,0.8814309239387512,0.11856108903884888,0.8814379640035138,0.9999920129776001,yes
patch_002,Qwen/Qwen2.5-72B-Instruct,hedged,0.9959316849708557,0.00406632898375392,0.9959336629403162,0.9999980139546096,yes
patch_002,Qwen/Qwen2.5-72B-Instruct,confident,0.9968277812004089,0.0031703077256679535,0.9968296862156281,0.9999980889260769,yes
patch_002,Qwen/Qwen2.5-72B-Instruct,confident_extra_neutral,0.995392382144928,0.00460495101287961,0.9953950367064099,0.9999973331578076,yes
patch_002,Qwen/Qwen2.5-72B-Instruct,unsupported_claims,0.9959309101104736,0.00406659534201026,0.9959333945136492,0.9999975054524839,yes
patch_003,Qwen/Qwen2.5-72B-Instruct,hedged,0.003618270857259631,0.9963706731796265,0.003618310861171047,0.9999889440368861,no
patch_003,Qwen/Qwen2.5-72B-Instruct,confident,0.0028178677894175053,0.9971722364425659,0.0028178956746593964,0.9999901042319834,no
patch_003,Qwen/Qwen2.5-72B-Instruct,confident_extra_neutral,0.0015154381981119514,0.9984774589538574,0.0015154489621156274,0.9999928971519694,no
patch_003,Qwen/Qwen2.5-72B-Instruct,unsupported_claims,0.0017159268027171493,0.9982761144638062,0.0017159404594299277,0.9999920412665233,no
patch_004,Qwen/Qwen2.5-72B-Instruct,hedged,0.22316181659698486,0.7767662405967712,0.2231778726394341,0.9999280571937561,no
patch_004,Qwen/Qwen2.5-72B-Instruct,confident,0.22318275272846222,0.7767465114593506,0.22319854085852883,0.9999292641878128,no
patch_004,Qwen/Qwen2.5-72B-Instruct,confident_extra_neutral,0.24556903541088104,0.7543639540672302,0.2455854922228832,0.9999329894781113,no
patch_004,Qwen/Qwen2.5-72B-Instruct,unsupported_claims,0.08537356555461884,0.9145731329917908,0.08537811633232416,0.9999466985464096,no
patch_005,Qwen/Qwen2.5-72B-Instruct,hedged,0.0677209123969078,0.9322392344474792,0.06772361139653146,0.999960146844387,no
patch_005,Qwen/Qwen2.5-72B-Instruct,confident,0.06775735318660736,0.9321967363357544,0.06776046410187926,0.9999540895223618,no
patch_005,Qwen/Qwen2.5-72B-Instruct,confident_extra_neutral,0.04224104434251785,0.9577218294143677,0.04224261265202496,0.9999628737568855,no
patch_005,Qwen/Qwen2.5-72B-Instruct,unsupported_claims,0.020411940291523933,0.9795585870742798,0.020412541902904455,0.9999705273658037,no
patch_006,Qwen/Qwen2.5-72B-Instruct,hedged,0.77753084897995,0.22240622341632843,0.7775797802122211,0.9999370723962784,yes
patch_006,Qwen/Qwen2.5-72B-Instruct,confident,0.7551465034484863,0.24479049444198608,0.755194082268772,0.9999369978904724,yes
patch_006,Qwen/Qwen2.5-72B-Instruct,confident_extra_neutral,0.7061280608177185,0.2938115894794464,0.7061706780082871,0.9999396502971649,yes
patch_006,Qwen/Qwen2.5-72B-Instruct,unsupported_claims,0.6795631647109985,0.32036909461021423,0.6796092018996452,0.9999322593212128,yes
