model,patch_id,p_yes_hedged,p_yes_claims,drop
Qwen/Qwen2.5-14B-Instruct,patch_050,0.8766712015619218,0.0015805832568977,0.8750906183050241
Qwen/Qwen2.5-14B-Instruct,patch_036,0.8173881064288679,0.0230748380462128,0.7943132683826551
Qwen/Qwen2.5-14B-Instruct,patch_019,0.7273389263547106,0.0002189627902605,0.7271199635644502
Qwen/Qwen2.5-14B-Instruct,patch_030,0.8467262295917409,0.1767914295196533,0.6699348000720876
Qwen/Qwen2.5-14B-Instruct,patch_041,0.8700887405978132,0.2089387787787286,0.6611499618190846
Qwen/Qwen2.5-14B-Instruct,patch_016,0.6224594116210938,0.0184137327543846,0.6040456788667091
Qwen/Qwen2.5-14B-Instruct,patch_029,0.6049156549522671,0.0560616569537418,0.5488539979985253
Qwen/Qwen2.5-14B-Instruct,patch_028,0.9292029834689932,0.3832602545553673,0.5459427289136259
Qwen/Qwen2.5-14B-Instruct,patch_002,0.4804248917989207,0.1459255560018288,0.3344993357970919
Qwen/Qwen2.5-14B-Instruct,patch_004,0.4325838685035705,0.1149457429333252,0.3176381255702453
Qwen/Qwen2.5-14B-Instruct,patch_023,0.2679407974463939,0.0478378626814996,0.2201029347648943
Qwen/Qwen2.5-14B-Instruct,patch_042,0.998460348236308,0.9020044736414814,0.09645587459482663
Qwen/Qwen2.5-14B-Instruct,patch_035,0.0610495068369672,0.0004305577391684,0.0606189490977988
Qwen/Qwen2.5-14B-Instruct,patch_043,0.9492877206741196,0.9001040138404979,0.04918370683362172
Qwen/Qwen2.5-14B-Instruct,patch_044,0.0600866500304387,0.0110643862631861,0.0490222637672526
Qwen/Qwen2.5-14B-Instruct,patch_017,0.0483982840015908,0.0001063371734551,0.048291946828135694
Qwen/Qwen2.5-14B-Instruct,patch_039,0.9815871510760972,0.9385505666616012,0.04303658441449598
Qwen/Qwen2.5-14B-Instruct,patch_025,0.0268126146085628,4.135950477158508e-07,0.026812201013515082
Qwen/Qwen2.5-14B-Instruct,patch_011,0.99099438629143,0.9699580525349504,0.02103633375647962
Qwen/Qwen2.5-14B-Instruct,patch_046,0.9811249850490124,0.967004033230876,0.01412095181813633
Qwen/Qwen2.5-14B-Instruct,patch_007,0.9980548411088992,0.9888881094960978,0.009166731612801349
Qwen/Qwen2.5-14B-Instruct,patch_021,0.0052201259911716,0.0013626472906085,0.0038574787005631
Qwen/Qwen2.5-14B-Instruct,patch_015,0.0024726265420955,4.6800914383044914e-05,0.002425825627712455
Qwen/Qwen2.5-14B-Instruct,patch_026,0.9991035945279402,0.9967218495905324,0.002381744937407726
Qwen/Qwen2.5-14B-Instruct,patch_027,0.0042028454946274,0.0026381464777996,0.0015646990168278001
Qwen/Qwen2.5-14B-Instruct,patch_009,0.0010671433659641,2.7535776141600537e-05,0.0010396075898224993
Qwen/Qwen2.5-14B-Instruct,patch_005,0.0004473333826739,0.0001252337748157,0.00032209960785820003
Qwen/Qwen2.5-14B-Instruct,patch_032,0.0003420854491298,2.794156207519303e-05,0.0003141438870546069
Qwen/Qwen2.5-14B-Instruct,patch_020,0.0002119072259371,4.649718790720991e-05,0.00016541003802989009
Qwen/Qwen2.5-14B-Instruct,patch_045,0.0001271907759573,4.00256484410553e-07,0.00012679051947288945
Qwen/Qwen2.5-14B-Instruct,patch_034,0.0001245203378019,3.9534998943220403e-07,0.00012412498781246782
Qwen/Qwen2.5-14B-Instruct,patch_001,0.0002103132078618,0.0001011930960292,0.00010912011183259998
Qwen/Qwen2.5-14B-Instruct,patch_031,3.631379529748782e-05,2.4351209260313966e-06,3.3878674371456426e-05
Qwen/Qwen2.5-14B-Instruct,patch_038,2.7535708840845724e-05,1.7819483101720334e-06,2.575376053067369e-05
Qwen/Qwen2.5-14B-Instruct,patch_018,2.753573248705688e-05,6.33321441882585e-06,2.120251806823103e-05
Qwen/Qwen2.5-14B-Instruct,patch_037,1.4739041698203574e-05,1.2440074310857649e-06,1.349503426711781e-05
