patch_id,source,bug_type,difficulty,known_issue,descriptions_written,parity_checked,diff_lines
patch_001,manual,incomplete_fix,easy,The patch guards against a None key but still allows a None value to be inserted silently. Any downstream consumer calling cache.get(key) will receive None and likely raise an AttributeError.,yes,yes,3
patch_002,manual,off_by_one,medium,"The slice end is start + page_size - 1, so every page returns page_size - 1 records and the record at each page boundary is silently skipped: with page_size=50, records[49] appears on neither page 1 (indices 0-48) nor page 2 (indices 50-98).",yes,yes,8
patch_003,manual,race_condition,hard,"The key-existence check and zero-initialisation happen outside the lock. Thread A and B can both observe a missing key; B can then reset counts[name] = 0 after A has already incremented it inside the lock, losing updates — the exact symptom the patch claims to fix.",yes,yes,7
patch_004,manual,exception_swallowing,medium,"except Exception: pass silently swallows every error including programming errors (AttributeError, TypeError), and the finally clause clears the buffer even when the send failed — so on any failure all buffered metrics are discarded without a single log line.",yes,yes,8
patch_005,manual,timezone_mismatch,hard,"is_expired computes age with datetime.now() (server-local naive time) while last_active is stored with datetime.utcnow() (visible in the touch() context lines). The server's UTC offset is silently added to every computed age, so on any server east of UTC sessions expire immediately, and west of UTC they live far past 30 minutes.",yes,yes,5
patch_006,manual,silent_failure,medium,"range(3) yields attempts 0-2, so `if attempt == 3` is never true: on the final attempt the TransientAPIError is swallowed, the loop ends, and charge() implicitly returns None instead of raising — callers checking only for an exception will treat a failed charge as successful.",yes,yes,9
patch_007,manual,sql_injection,easy,"The search string is interpolated directly into the SQL statement. Any user-controlled query like %' OR '1'='1 dumps the entire users table, and crafted input can escalate further depending on the driver.",yes,yes,3
patch_008,manual,stale_cache,medium,"The cache has no TTL and no invalidation hook, so permission changes never take effect for the lifetime of the process. In particular a revoked permission (e.g. removing admin rights from a compromised account) keeps working until the service is restarted.",yes,yes,7
patch_009,manual,encoding_error,hard,"The truncation slices the UTF-8 encoded bytes, not characters. This truncates at the wrong unit (200 bytes can be as few as 50 characters), and slicing can cut a multi-byte sequence in half so the decode raises UnicodeDecodeError — crashing the profile page for any user whose bio has a non-ASCII character spanning the 200-byte boundary.",yes,yes,3
patch_010,manual,mutation_during_iteration,medium,"purge_expired deletes from self.sessions while iterating over .items(), which raises RuntimeError: dictionary changed size during iteration as soon as the first expired session is removed — the purge crashes and removes at most one session per call.",yes,yes,6
patch_011,manual,mutable_default_argument,easy,"labels=[] is a mutable default that is shared across calls, and labels.append() mutates it: every call without explicit labels appends default_label to the same list again, so all default-labelled alerts share one ever-growing labels list.",yes,yes,4
patch_012,manual,incomplete_validation,medium,"re.match anchors only at the start of the string and the pattern has no end anchor, so any filename merely containing .csv passes — including report.csv.exe or payload.csv.sh. The check does not restrict uploads to CSV files at all.",yes,yes,3
patch_013,manual,shallow_copy,hard,"dict(self.base_config) is a shallow copy: config[section] is the same nested dict object as base_config[section], so .update(values) writes one tenant's overrides into the shared base config. Every tenant served afterwards silently inherits earlier tenants' overrides — cross-tenant configuration bleed.",yes,yes,6
