model,patch_id,p_yes_hedged,p_yes_claims,drop
Qwen/Qwen2.5-72B-Instruct,patch_050,0.7780187900995342,0.053748626460351,0.7242701636391833
Qwen/Qwen2.5-72B-Instruct,patch_035,0.8526524624451864,0.1861332485986114,0.666519213846575
Qwen/Qwen2.5-72B-Instruct,patch_029,0.5633752839696214,0.1074308680048618,0.45594441596475965
Qwen/Qwen2.5-72B-Instruct,patch_009,0.90478160777616,0.5627511843525238,0.3420304234236362
Qwen/Qwen2.5-72B-Instruct,patch_043,0.3780764529563049,0.0854060503225626,0.2926704026337423
Qwen/Qwen2.5-72B-Instruct,patch_017,0.4402349603344977,0.1857043219273851,0.25453063840711265
Qwen/Qwen2.5-72B-Instruct,patch_047,0.1654140504648822,0.0077035789608456,0.1577104715040366
Qwen/Qwen2.5-72B-Instruct,patch_004,0.2231778726394341,0.0853781163323241,0.13779975630711
Qwen/Qwen2.5-72B-Instruct,patch_025,0.133876713532999,0.0008129354285578,0.1330637781044412
Qwen/Qwen2.5-72B-Instruct,patch_020,0.652028634553518,0.5320738714837232,0.1199547630697948
Qwen/Qwen2.5-72B-Instruct,patch_006,0.7775797802122211,0.6796092018996452,0.09797057831257583
Qwen/Qwen2.5-72B-Instruct,patch_032,0.085453871240763,0.0013354635457549,0.0841184076950081
Qwen/Qwen2.5-72B-Instruct,patch_001,0.9475663016950326,0.8814379640035138,0.06612833769151882
Qwen/Qwen2.5-72B-Instruct,patch_048,0.0678186202931957,0.0019359409155277,0.065882679377668
Qwen/Qwen2.5-72B-Instruct,patch_016,0.0855873506761616,0.037685730776957,0.047901619899204606
Qwen/Qwen2.5-72B-Instruct,patch_005,0.0677236113965314,0.0204125419029044,0.047311069493627
Qwen/Qwen2.5-72B-Instruct,patch_026,0.1201274578931696,0.0766867405213585,0.0434407173718111
Qwen/Qwen2.5-72B-Instruct,patch_023,0.957951328348324,0.9325152405195628,0.025436087828761167
Qwen/Qwen2.5-72B-Instruct,patch_019,0.9948085884299732,0.9742450107370586,0.020563577692914614
Qwen/Qwen2.5-72B-Instruct,patch_034,0.0204623365524479,7.948929976604863e-06,0.020454387622471298
Qwen/Qwen2.5-72B-Instruct,patch_014,0.0142132515604596,0.0006330583695905,0.0135801931908691
Qwen/Qwen2.5-72B-Instruct,patch_046,0.9890447485949174,0.9771833502133136,0.011861398381603827
Qwen/Qwen2.5-72B-Instruct,patch_027,0.997529607782786,0.9859637281577674,0.011565879625018538
Qwen/Qwen2.5-72B-Instruct,patch_044,0.9964075857116628,0.9875715497593356,0.008836035952327181
Qwen/Qwen2.5-72B-Instruct,patch_021,0.9400448654039186,0.9327906624487408,0.007254202955177869
Qwen/Qwen2.5-72B-Instruct,patch_015,0.9890252154699832,0.9820420398862834,0.006983175583699874
Qwen/Qwen2.5-72B-Instruct,patch_010,0.0052778292062356,0.0003001697778021,0.0049776594284335
