patch_id,model,condition,p_yes,p_no,p_yes_renorm,coverage,top_token
patch_002,meta-llama/Meta-Llama-3.1-8B-Instruct,hedged,0.5652301907539368,0.4344048500061035,0.5654365520482177,0.9996350407600403,yes
patch_002,meta-llama/Meta-Llama-3.1-8B-Instruct,confident,0.5365240573883057,0.4630416929721832,0.536757143984586,0.9995657503604889,yes
patch_002,meta-llama/Meta-Llama-3.1-8B-Instruct,confident_extra_neutral,0.4133351445198059,0.5864668488502502,0.4134170038274953,0.9998019933700562,no
patch_002,meta-llama/Meta-Llama-3.1-8B-Instruct,unsupported_claims,0.3821548819541931,0.6176495552062988,0.382229631866345,0.9998044371604919,no
patch_003,meta-llama/Meta-Llama-3.1-8B-Instruct,hedged,0.16752994060516357,0.8322571516036987,0.16756561663047098,0.9997870922088623,no
patch_003,meta-llama/Meta-Llama-3.1-8B-Instruct,confident,0.1364848017692566,0.8632998466491699,0.13651420031820236,0.9997846484184265,no
patch_003,meta-llama/Meta-Llama-3.1-8B-Instruct,confident_extra_neutral,0.1520535796880722,0.8477493524551392,0.15208355046741562,0.9998029321432114,no
patch_003,meta-llama/Meta-Llama-3.1-8B-Instruct,unsupported_claims,0.12171253561973572,0.8781082630157471,0.12173435058146853,0.9998207986354828,no
patch_004,meta-llama/Meta-Llama-3.1-8B-Instruct,hedged,0.027669556438922882,0.9722602963447571,0.02767149751744514,0.99992985278368,no
patch_004,meta-llama/Meta-Llama-3.1-8B-Instruct,confident,0.01944790408015251,0.9804948568344116,0.01944901732411677,0.9999427609145641,no
patch_004,meta-llama/Meta-Llama-3.1-8B-Instruct,confident_extra_neutral,0.031238671392202377,0.9686944484710693,0.031240760778554744,0.9999331198632717,no
patch_004,meta-llama/Meta-Llama-3.1-8B-Instruct,unsupported_claims,0.018997816368937492,0.9809636473655701,0.018998548502046537,0.9999614637345076,no
patch_005,meta-llama/Meta-Llama-3.1-8B-Instruct,hedged,0.09755443781614304,0.9022282361984253,0.09757564353902928,0.9997826740145683,no
patch_005,meta-llama/Meta-Llama-3.1-8B-Instruct,confident,0.09754250943660736,0.9021166563034058,0.0975757666008094,0.9996591657400131,no
patch_005,meta-llama/Meta-Llama-3.1-8B-Instruct,confident_extra_neutral,0.09799817204475403,0.9018490314483643,0.09801314811141393,0.9998472034931183,no
patch_005,meta-llama/Meta-Llama-3.1-8B-Instruct,unsupported_claims,0.10908403992652893,0.8907605409622192,0.10910099630641157,0.9998445808887482,no
patch_006,meta-llama/Meta-Llama-3.1-8B-Instruct,hedged,0.5646231174468994,0.43511566519737244,0.5647706453414684,0.9997387826442719,yes
patch_006,meta-llama/Meta-Llama-3.1-8B-Instruct,confident,0.5347790718078613,0.4649405777454376,0.5349290394030113,0.999719649553299,yes
patch_006,meta-llama/Meta-Llama-3.1-8B-Instruct,confident_extra_neutral,0.4409199655056,0.5587000846862793,0.44108755663810906,0.9996200501918793,no
patch_006,meta-llama/Meta-Llama-3.1-8B-Instruct,unsupported_claims,0.3810785412788391,0.6186277270317078,0.38119050901105445,0.9997062683105469,no
patch_007,meta-llama/Meta-Llama-3.1-8B-Instruct,hedged,0.41582733392715454,0.5836944580078125,0.4160262810500183,0.999521791934967,no
patch_007,meta-llama/Meta-Llama-3.1-8B-Instruct,confident,0.41364791989326477,0.5858584046363831,0.4138522285868687,0.9995063245296478,no
patch_007,meta-llama/Meta-Llama-3.1-8B-Instruct,confident_extra_neutral,0.3576783537864685,0.6418019533157349,0.35786433333887946,0.9994803071022034,no
patch_007,meta-llama/Meta-Llama-3.1-8B-Instruct,unsupported_claims,0.27604445815086365,0.7236206531524658,0.27613693328855526,0.9996651113033295,no
patch_008,meta-llama/Meta-Llama-3.1-8B-Instruct,hedged,0.16754372417926788,0.8323335647583008,0.16756428617084945,0.9998772889375687,no
patch_008,meta-llama/Meta-Llama-3.1-8B-Instruct,confident,0.15082472562789917,0.8490389585494995,0.15084528822744941,0.9998636841773987,no
patch_008,meta-llama/Meta-Llama-3.1-8B-Instruct,confident_extra_neutral,0.12309818714857101,0.8767686486244202,0.12311458160666418,0.9998668357729912,no
patch_008,meta-llama/Meta-Llama-3.1-8B-Instruct,unsupported_claims,0.09800203889608383,0.9018858671188354,0.09801302556670942,0.9998879060149193,no
patch_009,meta-llama/Meta-Llama-3.1-8B-Instruct,hedged,0.38630273938179016,0.613162100315094,0.3865095839679036,0.9994648396968842,no
patch_009,meta-llama/Meta-Llama-3.1-8B-Instruct,confident,0.28015631437301636,0.7193485498428345,0.2802950985064085,0.9995048642158508,no
patch_009,meta-llama/Meta-Llama-3.1-8B-Instruct,confident_extra_neutral,0.28152015805244446,0.7179592847824097,0.2816667817138492,0.9994794428348541,no
patch_009,meta-llama/Meta-Llama-3.1-8B-Instruct,unsupported_claims,0.22967369854450226,0.7699285745620728,0.22976508229690173,0.999602273106575,no
patch_010,meta-llama/Meta-Llama-3.1-8B-Instruct,hedged,0.2521630823612213,0.7475722432136536,0.2522298411494269,0.9997353255748749,no
patch_010,meta-llama/Meta-Llama-3.1-8B-Instruct,confident,0.25137534737586975,0.7483612895011902,0.2514415678124058,0.9997366368770599,no
patch_010,meta-llama/Meta-Llama-3.1-8B-Instruct,confident_extra_neutral,0.12605220079421997,0.8734477758407593,0.12611526137159146,0.9994999766349792,no
patch_010,meta-llama/Meta-Llama-3.1-8B-Instruct,unsupported_claims,0.11398880183696747,0.8856273293495178,0.11403257538638306,0.9996161311864853,no
patch_011,meta-llama/Meta-Llama-3.1-8B-Instruct,hedged,0.12330217659473419,0.8764705657958984,0.12333020432213122,0.9997727423906326,no
patch_011,meta-llama/Meta-Llama-3.1-8B-Instruct,confident,0.11021880805492401,0.8895576000213623,0.11024345760168602,0.9997764080762863,no
patch_011,meta-llama/Meta-Llama-3.1-8B-Instruct,confident_extra_neutral,0.09896647930145264,0.9008561372756958,0.09898403742881942,0.9998226165771484,no
patch_011,meta-llama/Meta-Llama-3.1-8B-Instruct,unsupported_claims,0.07861737161874771,0.9212499856948853,0.07862780102149834,0.999867357313633,no
patch_012,meta-llama/Meta-Llama-3.1-8B-Instruct,hedged,0.1369498074054718,0.8628683686256409,0.13697471269137054,0.9998181760311127,no
patch_012,meta-llama/Meta-Llama-3.1-8B-Instruct,confident,0.15239454805850983,0.8473566770553589,0.15243246942873467,0.9997512251138687,no
patch_012,meta-llama/Meta-Llama-3.1-8B-Instruct,confident_extra_neutral,0.15398237109184265,0.845675528049469,0.15403506662040162,0.9996578991413116,no
patch_012,meta-llama/Meta-Llama-3.1-8B-Instruct,unsupported_claims,0.16820640861988068,0.83148592710495,0.16825817564953321,0.9996923357248306,no
patch_013,meta-llama/Meta-Llama-3.1-8B-Instruct,hedged,0.08836011588573456,0.9113994836807251,0.08838136280366944,0.9997595995664597,no
patch_013,meta-llama/Meta-Llama-3.1-8B-Instruct,confident,0.07860720157623291,0.9211304783821106,0.07862782723114754,0.9997376799583435,no
patch_013,meta-llama/Meta-Llama-3.1-8B-Instruct,confident_extra_neutral,0.0624629445374012,0.9374228715896606,0.06247007761280578,0.9998858161270618,no
patch_013,meta-llama/Meta-Llama-3.1-8B-Instruct,unsupported_claims,0.06973779201507568,0.9301112294197083,0.06974832251673549,0.9998490214347839,no
patch_014,meta-llama/Meta-Llama-3.1-8B-Instruct,hedged,0.41395625472068787,0.5854822993278503,0.41418879934522107,0.9994385540485382,no
patch_014,meta-llama/Meta-Llama-3.1-8B-Instruct,confident,0.41476231813430786,0.5845303535461426,0.4150558989258142,0.9992926716804504,no
patch_014,meta-llama/Meta-Llama-3.1-8B-Instruct,confident_extra_neutral,0.44413065910339355,0.5551191568374634,0.44446408897780626,0.9992498159408569,no
patch_014,meta-llama/Meta-Llama-3.1-8B-Instruct,unsupported_claims,0.29993167519569397,0.6995934844017029,0.3000741625318414,0.9995251595973969,no
patch_015,meta-llama/Meta-Llama-3.1-8B-Instruct,hedged,0.3552921712398529,0.643957257270813,0.3555590437208447,0.9992494285106659,no
patch_015,meta-llama/Meta-Llama-3.1-8B-Instruct,confident,0.32837432622909546,0.6706556677818298,0.32869316056340986,0.9990299940109253,no
patch_015,meta-llama/Meta-Llama-3.1-8B-Instruct,confident_extra_neutral,0.2099941521883011,0.7893540859222412,0.2101311076360478,0.9993482381105423,no
patch_015,meta-llama/Meta-Llama-3.1-8B-Instruct,unsupported_claims,0.18919894099235535,0.8104117512702942,0.18927262629023878,0.9996106922626495,no
patch_016,meta-llama/Meta-Llama-3.1-8B-Instruct,hedged,0.44136810302734375,0.5584020614624023,0.44146956841086105,0.9997701644897461,no
patch_016,meta-llama/Meta-Llama-3.1-8B-Instruct,confident,0.4100501835346222,0.5897362232208252,0.4101377861950892,0.9997864067554474,no
patch_016,meta-llama/Meta-Llama-3.1-8B-Instruct,confident_extra_neutral,0.2719464600086212,0.7278578281402588,0.2719996935721543,0.99980428814888,no
patch_016,meta-llama/Meta-Llama-3.1-8B-Instruct,unsupported_claims,0.27195948362350464,0.727824330329895,0.27201829018226215,0.9997838139533997,no
patch_017,meta-llama/Meta-Llama-3.1-8B-Instruct,hedged,0.13869017362594604,0.8610002994537354,0.13873311525985862,0.9996904730796814,no
patch_017,meta-llama/Meta-Llama-3.1-8B-Instruct,confident,0.1531306654214859,0.8464903235435486,0.15318872563893537,0.9996209889650345,no
patch_017,meta-llama/Meta-Llama-3.1-8B-Instruct,confident_extra_neutral,0.15428078174591064,0.8452454805374146,0.15435390501243107,0.9995262622833252,no
patch_017,meta-llama/Meta-Llama-3.1-8B-Instruct,unsupported_claims,0.12548336386680603,0.873908281326294,0.1255597487435073,0.9993916451931,no
patch_018,meta-llama/Meta-Llama-3.1-8B-Instruct,hedged,0.5379524230957031,0.461481511592865,0.5382571117753107,0.9994339346885681,yes
patch_018,meta-llama/Meta-Llama-3.1-8B-Instruct,confident,0.5688008666038513,0.4306112825870514,0.5691354333288196,0.9994121491909027,yes
patch_018,meta-llama/Meta-Llama-3.1-8B-Instruct,confident_extra_neutral,0.5684564113616943,0.43094703555107117,0.5687957282093634,0.9994034469127655,yes
patch_018,meta-llama/Meta-Llama-3.1-8B-Instruct,unsupported_claims,0.3548286557197571,0.6445651054382324,0.35504389712081047,0.9993937611579895,no
patch_019,meta-llama/Meta-Llama-3.1-8B-Instruct,hedged,0.04007059335708618,0.9597996473312378,0.04007579356447398,0.999870240688324,no
patch_019,meta-llama/Meta-Llama-3.1-8B-Instruct,confident,0.04501441493630409,0.9548094272613525,0.045022345973827184,0.9998238421976566,no
patch_019,meta-llama/Meta-Llama-3.1-8B-Instruct,confident_extra_neutral,0.017830928787589073,0.9819437265396118,0.017834947798065017,0.9997746553272009,no
patch_019,meta-llama/Meta-Llama-3.1-8B-Instruct,unsupported_claims,0.022028030827641487,0.9777242541313171,0.0220334888542373,0.9997522849589586,no
patch_020,meta-llama/Meta-Llama-3.1-8B-Instruct,hedged,0.3248249590396881,0.6748229265213013,0.3249393748853883,0.9996478855609894,no
patch_020,meta-llama/Meta-Llama-3.1-8B-Instruct,confident,0.35274651646614075,0.6467201709747314,0.3529347409960665,0.9994666874408722,no
patch_020,meta-llama/Meta-Llama-3.1-8B-Instruct,confident_extra_neutral,0.2502652704715729,0.7493435740470886,0.2503632014101299,0.9996088445186615,no
patch_020,meta-llama/Meta-Llama-3.1-8B-Instruct,unsupported_claims,0.1882055252790451,0.8114378452301025,0.18827266886508387,0.9996433705091476,no
patch_021,meta-llama/Meta-Llama-3.1-8B-Instruct,hedged,0.021142786368727684,0.9787805676460266,0.021144407002634837,0.9999233540147543,no
