patch_id,model,condition,p_yes,p_no,p_yes_renorm,coverage,top_token
patch_002,meta-llama/Llama-3.3-70B-Instruct,hedged,0.9999989867210388,9.8336363407725e-07,0.9999990166363365,0.9999999700846729,yes
patch_002,meta-llama/Llama-3.3-70B-Instruct,confident,0.9999982118606567,1.6469861066070735e-06,0.9999983530136609,0.9999998588467633,yes
patch_002,meta-llama/Llama-3.3-70B-Instruct,confident_extra_neutral,0.9999986290931702,1.3702599517273484e-06,0.9999986297400474,0.9999999993531219,yes
patch_002,meta-llama/Llama-3.3-70B-Instruct,unsupported_claims,0.9992537498474121,0.0007462255307473242,0.9992537744508793,0.9999999753781594,yes
patch_003,meta-llama/Llama-3.3-70B-Instruct,hedged,0.6225086450576782,0.3774912655353546,0.6225087007142932,0.9999999105930328,yes
patch_003,meta-llama/Llama-3.3-70B-Instruct,confident,0.022983858361840248,0.9770159721374512,0.022983862257621186,0.9999998304992914,no
patch_003,meta-llama/Llama-3.3-70B-Instruct,confident_extra_neutral,0.119227834045887,0.8807719945907593,0.11922785447717199,0.9999998286366463,no
patch_003,meta-llama/Llama-3.3-70B-Instruct,unsupported_claims,0.014067619107663631,0.9859323501586914,0.014067619540012856,0.999999969266355,no
patch_004,meta-llama/Llama-3.3-70B-Instruct,hedged,0.851952850818634,0.14804698526859283,0.8519529904646113,0.9999998360872269,yes
patch_004,meta-llama/Llama-3.3-70B-Instruct,confident,0.3776382505893707,0.6223612427711487,0.3776384419159148,0.9999994933605194,no
patch_004,meta-llama/Llama-3.3-70B-Instruct,confident_extra_neutral,0.6792227029800415,0.32077696919441223,0.6792229256466681,0.9999996721744537,yes
patch_004,meta-llama/Llama-3.3-70B-Instruct,unsupported_claims,0.04749111458659172,0.9525083899497986,0.04749113811672244,0.9999995045363903,no
patch_005,meta-llama/Llama-3.3-70B-Instruct,hedged,0.9999035000801086,9.64073624345474e-05,0.9999035926286423,0.9999999074425432,yes
patch_005,meta-llama/Llama-3.3-70B-Instruct,confident,0.9997960329055786,0.00020394996681716293,0.9997960500296896,0.9999999828723958,yes
patch_005,meta-llama/Llama-3.3-70B-Instruct,confident_extra_neutral,0.999903678894043,9.630404383642599e-05,0.9999036959545204,0.9999999829378794,yes
patch_005,meta-llama/Llama-3.3-70B-Instruct,unsupported_claims,0.9399242997169495,0.0600755475461483,0.9399244432780973,0.9999998472630978,yes
patch_006,meta-llama/Llama-3.3-70B-Instruct,hedged,0.9999141693115234,8.582500595366582e-05,0.9999141749935586,0.9999999943174771,yes
patch_006,meta-llama/Llama-3.3-70B-Instruct,confident,0.9999030232429504,9.699105430627242e-05,0.9999030089470804,1.0000000142972567,yes
patch_006,meta-llama/Llama-3.3-70B-Instruct,confident_extra_neutral,0.9996173977851868,0.00038261321606114507,0.999617386788148,1.000000011001248,yes
patch_006,meta-llama/Llama-3.3-70B-Instruct,unsupported_claims,0.9971796274185181,0.0028202971443533897,0.9971797026428915,0.9999999245628715,yes
patch_007,meta-llama/Llama-3.3-70B-Instruct,hedged,0.9999996423721313,3.250090401252237e-07,0.9999996749909493,0.9999999673811715,yes
patch_007,meta-llama/Llama-3.3-70B-Instruct,confident,0.9999997019767761,2.5978985718211334e-07,0.9999997402101329,0.9999999617666333,yes
patch_007,meta-llama/Llama-3.3-70B-Instruct,confident_extra_neutral,0.9999995827674866,4.0418211710857577e-07,0.9999995958178776,0.9999999869496037,yes
